mol,smiles,td_dft_E_S1_eV,td_dft_wl_S1_nm,td_dft_osc_S1,precond_strength_token,precond_absorption_token,precond_token,td_dft_strength_token,td_dft_absorption_token
mol0734,C[C](C)(C)[Zn][CH]1C(c2ccccc2)=Nc2ccccc21,4.364064,284.1,0.69685732,1,4,str_1_abs_4,4,4
mol0741,COC(COCCOCCOCCOCCCCCCl)C(=O)O,5.723911,216.6,0.001454455,1,4,str_1_abs_4,1,4
mol0744,CCOC(=O)c1ccc2ncc(C(=O)OC)n2n1,4.326256,286.6,0.080890092,1,4,str_1_abs_4,3,4
mol0746,COC(COCCOCCNS(=O)(=O)c1ccc2c(c1)OCCO2)OCCOCCNC(=O)c1ccc2c(S(=O)(=O)O)cccc2n1,4.390563,282.4,0.002801788,1,4,str_1_abs_4,1,4
mol0765,c1ccc2c(c1)ccc1ccccc12,4.382585,282.9,0.003493787,1,4,str_1_abs_4,1,4
mol0768,Nc1nc2cc(F)c(F)cc2[nH]1,5.006452,247.6,0.274785762,1,4,str_1_abs_4,3,4
mol0774,N#Cc1ccc2c(C#N)c3ccc4ccc5cccc(c2c1)c5c4-3,2.497875,496.4,0.038122804,2,0,str_2_abs_0,3,0
mol0776,CC1=CC(=O)C(c2ccc(N(C)C)cc2)=CC1=O,2.613253,474.4,0.308370435,2,0,str_2_abs_0,3,0
mol0779,Cn1c2ccccc2c2cccc(C3=CC=C4C3=Nc3ccccc34)c21,1.931894,641.8,0.059859608,2,0,str_2_abs_0,3,0
mol0784,CC1=Cc2nc1c1ccc([nH]1)c(-c1ccc(N)cc1)c1nc(c(-c3ccc(N)cc3)c3ccc([nH]3)c3ccccc23)C=C1,1.999718,620.0,0.477378923,2,0,str_2_abs_0,4,0
mol0788,Cc1cc(C(=O)O)nc(C)c1C,4.967857,249.6,0.002316858,2,0,str_2_abs_0,1,4
mol0790,C1=C2CCC(C1)C2,4.361685,284.3,0.127474876,2,0,str_2_abs_0,3,4
mol0798,CC1=Cc2cc3cc4cc5ccccc5cc4cc3cc2[Si]1(C)C,3.015628,411.1,0.190141762,2,0,str_2_abs_0,3,1
mol0809,CSc1cc(C(=O)c2ccccc2)cc(-n2c3ccccc3c3cc(C)ccc32)c1,4.003248,309.7,0.00306324,2,0,str_2_abs_0,1,4
mol0813,CC1=C(C)C(C)=[N+]2C1=C(c1c(C)c3c4c(c1C)CCCN4CCC3)c1c3ccccc3c(C)n1[B-]2(F)F,2.730297,454.1,1.019612082,2,0,str_2_abs_0,4,0
mol0822,CCCc1cc2ccc1[nH]c1ccc3nc(c4cc(CCC)c(ccc5nc(c2[nH]1)C=C5CCO)[nH]4)C=C3C,2.341718,529.5,0.010004129,2,0,str_2_abs_0,2,0
mol0823,Cc1ccc2c(c1)c(C)cc1cc3ccccc3cc12,3.914331,316.7,0.128060363,2,0,str_2_abs_0,3,4
mol0825,Cc1cc2cc3ccccc3cc2c2cc3cc4cc5ccccc5cc4cc3cc12,2.725168,455.0,0.160511758,2,0,str_2_abs_0,3,0
mol0829,CN(c1ccccc1)c1ccc(/C=C(\C#N)c2ccccc2)cc1,3.501315,354.1,1.508386516,2,0,str_2_abs_0,4,3
mol0831,CCCC1=C2NC3=C2C(=C1)CCCC(C)=C3,2.859971,433.5,0.017262289,2,0,str_2_abs_0,2,1
mol0834,CC1=C(C)C2CCCCC2=C1C,5.098365,243.2,0.200010193,2,0,str_2_abs_0,3,4
mol0837,Oc1cccc2c3c4c(cccc4cc12)C(Cl)=C3,2.849456,435.1,0.182232897,2,1,str_2_abs_1,3,1
mol0841,C1=CC2=Nc3ccc4c5ccccc5n(-c5nnc(-c6ccccc6)n5-c5ccccc5)c4c3C2=C1,2.030395,610.6,0.006305581,2,1,str_2_abs_1,2,0
mol0842,Cc1ccc2c(c1)c1ccccc1n2C1=C2C=CC=C2C=C1,1.71576,722.6,0.00861133,2,1,str_2_abs_1,2,0
mol0845,O=S(=O)(c1ccccc1)c1cccc(-n2c3ccccc3c3c2ccc2c4ccccc4n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c23)c1,4.22611,293.4,0.317669919,2,1,str_2_abs_1,3,4
mol0848,N#Cc1cc(N2C=C3C=CC=C32)c(-n2c3ccccc3c3ccccc32)cc1C#N,2.574903,481.5,0.046193748,2,1,str_2_abs_1,3,0
mol0849,Cc1cc(C)cc(N2c3ccccc3C(C)(C)c3cc4ccccc4cc32)c1,4.073264,304.4,0.204394977,2,1,str_2_abs_1,3,4
mol0850,Cc1ccc2cc3ccc(C)cc3cc2c1,3.808417,325.6,0.166814105,2,1,str_2_abs_1,3,4
mol0852,COc1cccc2c1c1c(c3cc(C)ccc3n1C)c1c2c2ccccc2n1C,3.870719,320.3,0.277861412,2,1,str_2_abs_1,3,4
mol0853,C1=CC2=C(n3c4ccccc4c4cc5c(cc43)c3ccccc3n5-c3ccccc3)C=CC2=C1,1.689866,733.7,0.010143051,2,1,str_2_abs_1,2,0
mol0854,COc1ccc(-c2ccc3c(c2)C(=O)C(=O)S3)cc1,2.867063,432.4,6.7113e-05,2,1,str_2_abs_1,0,1
mol0856,CCCc1ccc2cc3cc(C)ccc3cc2c1,3.778544,328.1,0.163619282,2,1,str_2_abs_1,3,4
mol0858,Cc1ccc2cc3cc(C)ccc3cc2c1,3.78997,327.1,0.164004242,2,1,str_2_abs_1,3,4
mol0863,O=[N+]([O-])c1cc([N+](=O)[O-])c(N(CCO)CCO)cc1N(CCO)CCO,3.329117,372.4,0.014925039,2,1,str_2_abs_1,2,2
mol0866,O=C1OC2(O)C(=O)OC(c3ccccc3)=C2C1=O,3.503101,353.9,0.001678758,2,1,str_2_abs_1,1,3
mol0867,O=C1c2ccccc2C(=O)c2ccccc21,3.453159,359.0,4.38e-07,2,1,str_2_abs_1,0,3
mol0868,N#Cc1cc(N2c3ccccc3Oc3ccccc32)cc(C#N)c1-n1c2ccccc2c2ccccc21,3.408098,363.8,0.002181385,2,1,str_2_abs_1,1,3
mol0871,O=c1c2cccc3c4ccc5cccc(c54)c(c23)n1-c1ccccc1,2.577834,481.0,0.213457895,2,1,str_2_abs_1,3,0
mol0872,CC(=O)NNc1c2ccccc2nc2ccccc12,3.672649,337.6,0.270117489,2,1,str_2_abs_1,3,4
mol0873,CCCCCCCN1C(=O)c2c3ccccc3cc3cccc1c23,3.366625,368.3,0.259168518,2,2,str_2_abs_2,3,3
mol0874,CCCCCCCCN1C(=O)c2ccc3cc(OC)c(-c4ccc(-c5ccccc5)cc4)cc3c2C1=O,3.641583,340.5,0.046732195,2,2,str_2_abs_2,3,3
mol0876,CCNc1ccc2cc3ccccc3cc2c1,3.527612,351.5,0.164718163,2,2,str_2_abs_2,3,3
mol0878,Cn1c2ccc(-c3ccccc3)cc2c2cc(-c3cccc4ccccc34)ccc21,4.243598,292.2,0.070799565,2,2,str_2_abs_2,3,4
mol0879,CN(Cc1ccc(N2c3ccccc3Sc3ccccc32)cc1)c1ccccc1,4.074322,304.3,0.006775354,2,2,str_2_abs_2,2,4
mol0882,C[Si]1(C)O[Si](C)(C)c2cc3cc4cc5c(cc4cc3cc21)C(=O)c1ccccc1C5=O,3.406366,364.0,0.067702488,2,2,str_2_abs_2,3,3
mol0883,Nc1nc(N/N=C/c2cc([N+](=O)[O-])ccc2O)nc(Nc2cccc3ccccc23)n1,4.311597,287.6,1.307445401,2,2,str_2_abs_2,4,4
mol0885,CCCCCCCn1c(=O)c2cccc3cc(Oc4ccc5cccc6c5c4C=C6)c4cccc(c1=O)c4c32,3.573843,346.9,0.016527697,2,2,str_2_abs_2,2,3
mol0886,C1=CC2=C(n3cnc4ccccc43)C=CC2=C1,1.792444,691.7,0.004963916,2,2,str_2_abs_2,2,0
mol0887,C1=CC(n2c3ccccc3c3cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)ccc32)=C1,2.599318,477.0,0.057178053,2,2,str_2_abs_2,3,0
mol0889,C1=CC2=Nc3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3C2=C1,2.141892,578.9,0.000924505,2,2,str_2_abs_2,1,0
mol0890,c1ccc2c(c1)c1ccc(-c3ccc4[nH]c5ccncc5c4c3)cc1n2-c1ccc(-n2ccc3cnccc32)cc1,4.373057,283.5,0.109665111,2,2,str_2_abs_2,3,4
mol0891,CCCCCCCCCN1c2ccccc2C(C)(C)c2c1ccc1cc(N3CCCCC3)c(C(F)(F)F)cc21,3.514813,352.7,0.09454262,2,2,str_2_abs_2,3,3
mol0897,CC(=O)c1ccc2cc(N(c3ccccc3)c3cccc4ccccc34)ccc2c1,3.858806,321.3,0.724253309,2,2,str_2_abs_2,4,4
mol0898,C1=Cc2cc(N(c3ccccc3)c3ccccc3)c3c4c(ccc1c24)C=C3,2.314054,535.8,0.047988771,2,2,str_2_abs_2,3,0
mol0899,CC1=c2c(nc3c4ccccc4c4cccc4n23)C=C1,0.943278,1314.4,0.003558045,2,2,str_2_abs_2,1,0
mol0900,Cc1cccc(C2=Cc3cccc[n+]3[B-](F)(F)O2)c1,3.857273,321.4,0.987929082,2,2,str_2_abs_2,4,4
mol0903,C1=CC2=Nc3ccc(-c4cccc5cc6ccccc6cc45)cc3C2=C1,2.19671,564.4,0.00258935,2,2,str_2_abs_2,1,0
mol0904,N#Cc1ccc(N2c3ccccc3Oc3ccccc32)cc1C#N,3.384162,366.4,0.125868786,2,2,str_2_abs_2,3,3
mol0909,CCN1CCC2=C1CC(C)(C)CC2=O,4.603025,269.4,0.284710353,2,3,str_2_abs_3,3,4
mol0910,O=[N+]([O-])c1ccc(Nc2ccccc2)cc1,3.833222,323.4,0.954079103,2,3,str_2_abs_3,4,4
mol0912,CCCCCCCCCOc1ccc2c3c(cccc13)C=C2,3.459947,358.3,0.085587804,2,3,str_2_abs_3,3,3
mol0914,Cc1cc2ccc3cccc4cc5cnccc5c1-c2c34,1.928094,643.0,0.058006404,2,3,str_2_abs_3,3,0
mol0915,CCCCCCCc1ccc2ccc3cccc4ccc1c2c34,4.022181,308.3,0.46104411,2,3,str_2_abs_3,4,4
mol0918,C1=CN=C1,3.410293,363.6,0.002882433,2,3,str_2_abs_3,1,3
mol0919,Clc1cc2c3c(cccc3c1)C=C2,3.466547,357.7,0.005867567,2,3,str_2_abs_3,2,3
mol0921,CN(CCO)c1ccc(/C=C/C(=O)c2ccc(NC(=O)c3cccc(S)c3)cc2)cc1,3.491472,355.1,1.659321874,2,3,str_2_abs_3,4,3
mol0922,C1=CC2=C(n3ccc4ccccc43)C=CC2=C1,1.65713,748.2,0.008827691,2,3,str_2_abs_3,2,0
mol0923,O=S(=O)(c1ccccc1)c1ccc(-c2cc(-c3ccc(-n4cccn4)cc3)cc(-c3ccc(S(=O)(=O)c4ccccc4)cc3)c2)cc1,4.786646,259.0,0.056295071,2,3,str_2_abs_3,3,4
mol0925,O=C(O)CCC1=C2C=CC=C2C=C1,1.941317,638.7,0.000651716,2,3,str_2_abs_3,1,0
mol0930,C1=NC(c2ccc(N(c3ccccc3)c3ccccc3)cc2)=C1,2.519885,492.0,0.311149605,2,3,str_2_abs_3,3,0
mol0931,CC(=O)Nc1ccc(C(=O)/C=C/c2ccc(N(C)CCO)cc2)cc1,3.514131,352.8,1.463080824,2,3,str_2_abs_3,4,3
mol0932,Fc1ccc2ccc(Nc3nc(Nc4ccccc4)nc4ccc(Br)cc34)cc2c1,3.936017,315.0,0.607205481,2,3,str_2_abs_3,4,4
mol0938,Cc1cc2ccccc2c2c1ccc1c3ccccc3ccc12,3.909706,317.1,0.002918946,2,3,str_2_abs_3,1,4
mol0941,CCc1cc2ccccc2nc1SCC(=O)Nc1ccc(C(C)=O)cc1,4.186756,296.1,0.000171571,2,3,str_2_abs_3,0,4
mol0945,Cc1cc(C)c([SH](=O)=O)c(C)c1,5.226775,237.2,0.039245408,2,3,str_2_abs_3,3,4
mol0947,CCCOc1cc(=O)oc2c(OCC)ccc(OC)c12,4.254953,291.4,0.206107815,2,3,str_2_abs_3,3,4
mol0948,CC(=O)c1ccc2ccc3c(N(C)C)ccc4ccc1c2c43,3.293239,376.5,0.908672578,2,3,str_2_abs_3,4,2
mol0949,Cc1cc2ccccc2c2c1CCC1=C3CCc4ccc(c1c43)CC2,3.178072,390.1,0.004959106,2,3,str_2_abs_3,2,2
mol0951,COCCOc1ccc(C(N)=O)cc1,5.1956,238.6,0.021854392,2,4,str_2_abs_4,2,4
mol0955,CC1(C)CC=C2C1=Nc1ccc(O)cc1C2(C)C,4.29266,288.8,0.57671934,2,4,str_2_abs_4,4,4
mol0957,CC1CCCC1,9.157843,135.4,0.000323599,2,4,str_2_abs_4,0,4
mol0959,Br,7.263195,170.7,0.004481101,2,4,str_2_abs_4,1,4
mol0960,OCl,5.115307,242.4,0.003504448,2,4,str_2_abs_4,1,4
mol0963,OF,4.764125,260.2,1.854e-05,2,4,str_2_abs_4,0,4
mol0966,Cc1ccc2c(C)coc2c1,5.17811,239.4,0.082734604,2,4,str_2_abs_4,3,4
mol0967,CC1=CCC1,7.297273,169.9,0.536961839,2,4,str_2_abs_4,4,4
mol0970,CCCCN1C(=O)c2cccc3c(N4CCOCC4)ccc(c23)C1=O,3.440456,360.4,0.596829647,2,4,str_2_abs_4,4,3
mol0976,CC(C)C,9.44072,131.3,0.009567598,2,4,str_2_abs_4,2,4
mol0978,C1=CCCC1,7.209609,172.0,0.446945009,2,4,str_2_abs_4,4,4
mol0981,COc1ccc(N(C)C(=O)Cn2c3ccccc3c(=O)c3ccccc32)cc1,4.010423,309.2,0.268717454,2,4,str_2_abs_4,3,4
mol0986,CC1=C2C=CC=C2C=C1,1.923113,644.7,0.000694212,2,4,str_2_abs_4,1,0
mol0988,C1=Cc2cccc3cccc1c23,3.515721,352.7,0.011563811,2,4,str_2_abs_4,2,3
mol0993,[As]c1nc2ccccc2o1,0.727916,1703.3,3.2537e-05,2,4,str_2_abs_4,0,0
mol0994,Nc1nc(Nc2ccccc2)nc(Nc2ccccc2)n1,5.070197,244.5,1.328212899,2,4,str_2_abs_4,4,4
mol0995,N#Cc1ccc2c(c1)cc(C#N)c1c3cc(C#N)ccc3c(C#N)cc21,3.904191,317.6,0.122051653,3,0,str_3_abs_0,3,4
mol1000,O=C1C=CC=C1c1ccccc1,2.752143,450.5,0.083067154,3,0,str_3_abs_0,3,0
mol1006,Cc1cc2c3ccccc3cc3ccc4cccc1c2c43,1.882044,658.8,0.025490027,3,0,str_3_abs_0,2,0
mol1008,COc1cc(/C=C/C2=CC(C)=[O+][B-](F)(F)O2)ccc1O,3.453898,359.0,1.502748226,3,0,str_3_abs_0,4,3
mol1014,N#Cc1cc(C#N)c(N2c3ccccc3Oc3ccccc32)c(C#N)c1,3.001846,413.0,0.085100054,3,0,str_3_abs_0,3,1
mol1018,CC1=CC(C)=[N+]2C1=Cc1ccc(C)n1[B-]2(F)F,3.00957,412.0,0.93227969,3,0,str_3_abs_0,4,1
mol1024,CCCc1c2ccccc2c(CC)c2ccccc12,3.563742,347.9,0.27560155,3,0,str_3_abs_0,3,3
mol1026,CC1=Cc2ccc3ccccc3[n+]2[B-](F)(F)N1c1ccccc1,3.618854,342.6,0.775567257,3,0,str_3_abs_0,4,3
mol1027,N#Cc1ccc2c(c1)c1ccccc1n2-c1ccc(-c2cc(-c3ccccc3)c(C#N)c(-c3ccccc3)c2)cc1,4.445268,278.9,0.11940245,3,0,str_3_abs_0,3,4
mol1029,CCOCCC1=Cc2nc1ccc1[nH]c(cc1CCOCC)c1nc(ccc3[nH]c2cc3CCOCC)C(CCOC)=C1,2.235749,554.6,0.339187525,3,0,str_3_abs_0,4,0
mol1031,CNc1cc2ccccc2c2c1=NC(C)(C)N=2,3.05474,405.9,0.154392398,3,0,str_3_abs_0,3,1
mol1036,CCc1cc2c3ccccc3[nH]c2c2ccccc12,4.194759,295.6,0.139898894,3,0,str_3_abs_0,3,4
mol1041,CCCCCCCCCCOC,8.04203,154.2,0.018304463,3,0,str_3_abs_0,2,4
mol1045,CCc1ccc2cc3cc4ccccc4cc3cc2c1,3.025588,409.8,0.188404754,3,0,str_3_abs_0,3,1
mol1051,Cc1cc2cc3ccccc3cc2c2cc3cc4ccccc4cc3cc12,3.293187,376.5,0.149019577,3,0,str_3_abs_0,3,2
mol1057,CC1=Cc2ccc(N)c3cccc1c23,3.217919,385.3,0.15110457,3,0,str_3_abs_0,3,2
mol1063,CCOCCc1cc2[nH]c1ccc1nc(c3cc(CCOC)c(ccc4nc2C=C4CCOC)[nH]3)C=C1CCOC,1.978928,626.5,0.247179818,3,0,str_3_abs_0,3,0
mol1064,COCC#N,7.298288,169.9,0.001344598,3,0,str_3_abs_0,1,4
mol1066,Clc1c2cc3ccccc3cc2c(Oc2ccccc2)c2cc3sccc3cc12,2.622257,472.8,0.262977406,3,0,str_3_abs_0,3,0
mol1069,O=CCc1cc2cc3ccccc3cc2c2nc3ccccc3n12,3.880674,319.5,0.13267642,3,0,str_3_abs_0,3,4
mol1076,Oc1ccc2cc3ccc(O)cc3cc2c1,3.760528,329.7,0.151889801,3,1,str_3_abs_1,3,4
mol1080,CC(=O)NN=Cc1c2ccccc2cc2ccccc12,3.397986,364.9,0.485935172,3,1,str_3_abs_1,4,3
mol1088,O=S(=O)(c1ccccc1)c1ccc(-n2c3ccc(-c4ccccc4)cc3c3cc(-c4ccccc4)ccc32)cc1,4.330381,286.3,0.139816879,3,1,str_3_abs_1,3,4
mol1094,Fc1ccc(N(c2cc(F)cc(F)c2)c2ccc3ccc4ccc(N(c5cc(F)cc(F)c5)c5cc(F)cc(F)c5)cc4c3c2)cc1,3.940512,314.6,0.019578458,3,1,str_3_abs_1,2,4
mol1098,CCCCCCCn1c2ccc(OC)cc2c2ccc3c4cc(OC)ccc4n(CCC)c3c21,3.988577,310.8,0.147349436,3,1,str_3_abs_1,3,4
mol1104,Oc1ccc2cc3ccccc3cc2c1,3.716248,333.6,0.165091057,3,1,str_3_abs_1,3,4
mol1106,COc1cc2c3c(ccc4c3c1C=C4)OC2=O,3.083376,402.1,0.044936732,3,1,str_3_abs_1,3,2
mol1107,N#CC1=Cc2cccc3cccc1c23,3.410521,363.5,0.045893825,3,1,str_3_abs_1,3,3
mol1109,CCn1c(=O)c2c(-c3ccccc3)c(-c3ccccc3)n(C)c2c2ccccc21,4.319342,287.0,0.764230928,3,1,str_3_abs_1,4,4
mol1111,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1c2ccccc2cc2ccccc12,3.653696,339.3,0.265922978,3,1,str_3_abs_1,3,3
mol1116,COC(=O)/C=C/c1c2ccccc2cc2ccccc12,3.400759,364.6,0.437350506,3,1,str_3_abs_1,4,3
mol1121,CCCCCCCn1c2ccccc2c2ccc3c(c4ccccc4n3CCC)c21,4.144261,299.2,0.25627246,3,1,str_3_abs_1,3,4
mol1125,COc1cc2nc3cc(Cl)ccc3nc2cc1NC(=O)c1cccc(Br)c1,3.644015,340.2,0.478299374,3,1,str_3_abs_1,4,3
mol1131,Nc1cc2c3c(ccc4c3c1C=C4)C=C2,2.329211,532.3,0.022559565,3,1,str_3_abs_1,2,0
mol1143,O=c1c2ccccc2[nH]c2cc3ccccc3cc12,3.503913,353.8,0.192957491,3,1,str_3_abs_1,3,3
mol1144,N#Cc1c2ccccc2c(C#N)c2cc3ccccc3cc12,2.588644,479.0,0.275348131,3,1,str_3_abs_1,3,0
mol1147,CCCCCCCCCn1c(=O)c2cc3cc4cc5c(=O)n(CCCCCCC)c(=O)c5cc4cc3cc2c1=O,3.64071,340.5,0.333454642,3,1,str_3_abs_1,4,3
mol1150,C[N+]1=C2C=CC2=C(c2ccccc2)c2cccn2[B-]1(F)F,3.088635,401.4,0.005497469,3,1,str_3_abs_1,2,2
mol1157,COc1ccc2cc3cc4cc(OC)ccc4cc3cc2c1,3.038052,408.1,0.166750263,3,2,str_3_abs_2,3,1
mol1160,CNc1cc2ccccc2c2c1C(=O)CC2,3.528113,351.4,0.130110761,3,2,str_3_abs_2,3,3
mol1162,O=C1c2c(oc3ccccc3c2=O)-c2oc3ccccc3c21,2.769614,447.7,0.110877831,3,2,str_3_abs_2,3,1
mol1165,N#Cc1nc(N2c3ccccc3Oc3ccccc32)nc(N2c3ccccc3Oc3ccccc32)n1,4.363165,284.2,0.424875632,3,2,str_3_abs_2,4,4
mol1166,O=Cc1cccc(N(c2ccccc2)c2ccccc2)c1,3.805925,325.8,0.058519305,3,2,str_3_abs_2,3,4
mol1170,COc1ccc2c1c(C)c1cccc3cnc2n31,2.036945,608.7,0.169796476,3,2,str_3_abs_2,3,0
mol1173,CCCCCCCCN1c2ccccc2-c2ccccc2C12C(C#N)=C(N)Oc1c2ccc2c3ccccc3n(CCN(C)C)c12,4.069762,304.6,0.249756459,3,2,str_3_abs_2,3,4
mol1174,CCN1C(=O)c2cccc3cccc(c23)C1=O,4.185817,296.2,0.443034542,3,2,str_3_abs_2,4,4
mol1182,CCCCCCCCCn1c2cc3ccccc3cc2c2cc3c(cc21)oc1ccc2ccccc2c13,3.739756,331.5,0.242487729,3,2,str_3_abs_2,3,4
mol1191,CCCCCCCn1c2ccc(-c3ccc(F)cc3)cc2c2cc3c4cc(-c5ccc(F)cc5)ccc4n(CCCC)c3cc21,4.110615,301.6,0.141930864,3,2,str_3_abs_2,3,4
mol1193,C[Si](C)(C)c1c2c(cc3c4ccccc4n(-c4ccccc4)c13)[Si](C)(C)c1ccccc1[Si]2(C)C,4.221822,293.7,0.096592257,3,2,str_3_abs_2,3,4
mol1197,CCCCCCCCCCn1c2ccc(C#N)cc2c2c3c4cc(C#Cc5cccc(/C=C(\C#N)C(=O)O)c5)ccc4n(CCCCCCCCC)c3ccc21,3.814404,325.0,0.029268653,3,2,str_3_abs_2,2,4
mol1205,CCCCCCCn1c2ccc(/C=N/c3ccc4oc5ccccc5c4c3)cc2c2cc(/C=C(\C#N)C(=O)O)ccc21,3.612629,343.2,1.768739662,3,2,str_3_abs_2,4,3
mol1206,NCc1c2ccccc2cc2ccccc12,3.678545,337.0,0.226504842,3,2,str_3_abs_2,3,4
mol1212,CCCCCn1c(=O)c2c(=O)c3c(=O)n(CCCCC)c(=O)c3c2c1=O,2.608483,475.3,0.01566429,3,2,str_3_abs_2,2,0
mol1214,CCCCn1c(-c2sc3scc(-c4ccc(C#N)cc4)c3c2N2CCCCC2)nc2c(sc3ccccc32)c1=O,4.065314,305.0,0.02949049,3,2,str_3_abs_2,2,4
mol1217,CCCCN1c2ccccc2C(C)(C)C12C=Cc1c2c2ccc(OC)cc2c2cc3ccccc3cc12,3.485112,355.8,0.284099969,3,2,str_3_abs_2,3,3
mol1218,CC(C)n1c(=O)c2cc3cc4cc5c(=O)n(C(C)C)c(=O)c5cc4cc3cc2c1=O,3.641787,340.4,0.324921403,3,2,str_3_abs_2,4,3
mol1220,CNc1cc2ccccc2c2ccccc12,4.102669,302.2,0.076223042,3,3,str_3_abs_3,3,4
mol1224,CC1CC(=O)C2=C(C1)Oc1ccc3ccccc3c1N2,3.291595,376.7,0.006158102,3,3,str_3_abs_3,2,2
mol1230,COc1ccc2ccc3cccc4ccc1c2c34,3.876852,319.8,0.571990565,3,3,str_3_abs_3,4,4
mol1232,CC(C)NC(=O)c1cc2ccccc2c2cc3ccccc3cc12,3.935247,315.1,0.190256627,3,3,str_3_abs_3,3,4
mol1239,CN1CCN(/N=C\c2c3ccccc3cc3ccccc23)CC1,3.369949,367.9,0.481793612,3,3,str_3_abs_3,4,3
mol1249,Brc1ccc2cc3ccccc3cc2c1,3.756071,330.1,0.168076392,3,3,str_3_abs_3,3,4
mol1251,O=C1[Se][C@]23C1=C[C@H](c1ccccc12)c1ccccc13,4.422075,280.4,0.069346667,3,3,str_3_abs_3,3,4
mol1252,Fc1c2ccccc2nc2ccccc12,3.885115,319.1,0.177988818,3,3,str_3_abs_3,3,4
mol1254,CN1CCC1c1c[nH]c2ccccc12,5.035434,246.2,0.141211897,3,3,str_3_abs_3,3,4
mol1256,CC(=O)c1ccc(-n2c3ccccc3c3cc(-c4ccc(C(C)(C)C)cc4)ccc32)cc1,4.122424,300.8,0.009283578,3,3,str_3_abs_3,2,4
mol1261,CCc1ccc2ccc(N(C)C)cc2c1,4.182169,296.5,0.129966174,3,3,str_3_abs_3,3,4
mol1266,CCCOc1ccc(OCC)cc1-c1cn2ccccc2n1,4.326191,286.6,0.659594395,3,3,str_3_abs_3,4,4
mol1270,COc1ccc2c(ccc3cc4ccccc4cc32)c1,3.90572,317.4,0.126944068,3,3,str_3_abs_3,3,4
mol1276,COc1ccc(-c2c(C#N)c(N)nc(N)c2C#N)cc1OC,4.4086,281.2,0.341242766,3,3,str_3_abs_3,4,4
mol1282,COC(=O)[C@@H](Cc1ccc2cc3ccccc3cc2c1)NC(=O)OC(C)(C)C,3.770722,328.8,0.162400645,3,3,str_3_abs_3,3,4
mol1288,Cc1cc2cc3c(cc2n1-c1ccccc1)C(=O)N(c1ccccc1)C3=O,4.053263,305.9,0.12357298,3,3,str_3_abs_3,3,4
mol1289,CCCCCOc1ccc(/C=C/C(=O)c2c3ccccc3cc3ccccc23)cc1OC,3.48502,355.8,0.668312998,3,3,str_3_abs_3,4,3
mol1291,CCCCCCCCCCCCCOC(=O)c1c2ccccc2cc2ccccc12,3.720517,333.2,0.227592611,3,3,str_3_abs_3,3,4
mol1294,CNc1nc2ccccc2n1CCN1CCOCC1,5.016516,247.2,0.276559099,3,3,str_3_abs_3,3,4
mol1302,Nc1nc2ccccc2c2cnccc12,4.238672,292.5,0.321723591,3,4,str_3_abs_4,4,4
mol1306,COC(=O)CN(C=O)Cc1c(C)[nH]c2ccccc12,5.107643,242.7,0.119303202,3,4,str_3_abs_4,3,4
mol1307,CN(Cc1ccccc1)c1ccccc1,4.818455,257.3,0.090169681,3,4,str_3_abs_4,3,4
mol1311,C1=N/C(=C/c2ccccc2)CN1c1ccccc1,3.85586,321.5,1.228940756,3,4,str_3_abs_4,4,4
mol1312,CCc1nnc(NCc2ccccn2)s1,5.336459,232.3,0.001720594,3,4,str_3_abs_4,1,4
mol1314,CCCOCOCCOCCCC(=O)OCCO,6.080492,203.9,0.002110441,3,4,str_3_abs_4,1,4
mol1320,Cc1coc2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc12,4.452458,278.5,0.144281967,3,4,str_3_abs_4,3,4
mol1324,COc1ccccc1-n1c(-c2ccccc2)nc2ccccc2c1=O,4.703578,263.6,0.228953322,3,4,str_3_abs_4,3,4
mol1330,FC1=CC=C2C=CC=C12,1.620017,765.3,0.000610029,3,4,str_3_abs_4,1,0
mol1336,CC1=CC(C)=[N+]2C1=C(C)c1ccc(C)n1[B-]2(F)F,3.075348,403.2,0.883755261,3,4,str_3_abs_4,4,2
mol1337,O=C1Nc2ccccc2C1=O,3.107796,398.9,9.0435e-05,3,4,str_3_abs_4,0,2
mol1344,CCCCCCCCCCCOc1cc(OCCCCC)c(OCCCCCCC)cc1C#Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],2.967608,417.8,1.133032153,3,4,str_3_abs_4,4,1
mol1351,Oc1ccc2ccc(O)cc2c1,4.567776,271.4,0.049910447,3,4,str_3_abs_4,3,4
mol1363,CC1CCC(=C(C#N)C#N)C1,5.579261,222.2,0.651788311,3,4,str_3_abs_4,4,4
mol1365,CC(=O)NCc1cc(C2=NCCO2)ccc1O,5.078769,244.1,0.05331919,3,4,str_3_abs_4,3,4
mol1366,N#Cc1cc(N2CCCC2)c(C#N)c2c1-c1ccccc1C2=O,2.839658,436.6,0.032838733,3,4,str_3_abs_4,3,1
mol1368,COC(=O)C1=C(c2ccccc2)NC(=O)NC1c1ccccc1Cl,4.63468,267.5,0.316823002,3,4,str_3_abs_4,3,4
